reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,app_name
1bfeeb8d-d3fe-4d2a-a062-433f59312606,Aryan dharma,https://play-lh.googleusercontent.com/a-/ALV-UjWtzRdPXzVij0qjKchRJ67UrngQZESWI5DSJ62pA-7kqMrmueM,best video in time pass 😁,5,0,486.0.0.66.70,2024-10-26 11:34:21,,,486.0.0.66.70,Facebook
8a3f15a0-24e9-4230-9ed8-80f8aa40344c,Ramesh Kumar,https://play-lh.googleusercontent.com/a/ACg8ocKLoYsKE3BEaTLNvEVjTRoma_vmjAIEpLe9ThxrlI8kd1xbCA=mo,Uptonllo,4,0,436.0.0.35.101,2024-10-26 11:33:40,,,436.0.0.35.101,Facebook
a1835aaf-072b-4b24-8317-4be0a7b5c135,WILBERT BAYANI,https://play-lh.googleusercontent.com/a-/ALV-UjXpgZlm9Ajun73BZfjxT1uhNahxrA8n1HI0amrnvAKcVuLBZH1X,good,3,0,486.0.0.66.70,2024-10-26 11:33:37,,,486.0.0.66.70,Facebook
16b276bb-deb7-4c0e-8b36-e6782a683eb6,Dan Inzauro,https://play-lh.googleusercontent.com/a-/ALV-UjUk6i8du5TvPFv_mquOP6hJ-V6mXQDiWLaNGeccb4KUTKAfyoxV,turn off stop the publicity,1,0,486.0.0.66.70,2024-10-26 11:33:34,,,486.0.0.66.70,Facebook
2673d566-684a-45b0-9acb-73b3f8c7f499,Basant Yadav,https://play-lh.googleusercontent.com/a/ACg8ocIefTnLP9PKfrjqKdU3Onuk6moNj6Nf1pCGf1CkIiH8iqXfHQ=mo,Very good app,5,0,486.0.0.66.70,2024-10-26 11:32:25,,,486.0.0.66.70,Facebook
9a767bfa-8e98-4aeb-b6e8-fe9a6c00875c,Vinay Kumar,https://play-lh.googleusercontent.com/a-/ALV-UjV8DaIKzPA9rLo2zNK3YHQEYpZRuXcoXuQ1zpO285OGOf1LGSIh,nice,5,0,486.0.0.66.70,2024-10-26 11:31:52,,,486.0.0.66.70,Facebook
e97c983d-d474-4b93-afac-8d19c3b4fa51,Monideepa Chakraborty,https://play-lh.googleusercontent.com/a-/ALV-UjW7TYHxHjfQNFS8x4VH79VQXWav6prWYYhR1zMRAn0deNEOKBcD,good,5,0,486.0.0.66.70,2024-10-26 11:31:08,,,486.0.0.66.70,Facebook
939cb4f4-9d9b-4a05-b348-4e2ad0db28f0,Sumaya Simu,https://play-lh.googleusercontent.com/a-/ALV-UjUXxYpfe8P7FlBVJ_f8mavnKvIM5eUpUK0Ixc_I-6l-RD09aWir,Nice apk,5,0,487.1.0.74.74,2024-10-26 11:30:17,,,487.1.0.74.74,Facebook
266a4743-e588-452e-8db9-74f5251d5d5f,GAMING FF,https://play-lh.googleusercontent.com/a-/ALV-UjXQ65layvN4VOAny3ePXhHoiCCju0JA-AznQPMgm87gf4z9Epo,Nice,5,0,469.2.0.51.80,2024-10-26 11:30:16,,,469.2.0.51.80,Facebook
2709bd45-ef7d-42c0-9448-94a1c2c2cb84,Saleem Shah,https://play-lh.googleusercontent.com/a/ACg8ocLelhAwR44_BwU3EUznk65o6Z9hfyfrj_Y8ll2wcR1XZ1DMpg=mo,Recommended specially pizza & Burgers,5,0,486.0.0.66.70,2024-10-26 11:30:10,,,486.0.0.66.70,Facebook
4fa688c4-7367-4ccd-821b-ffb907b01a17,London Server,https://play-lh.googleusercontent.com/a-/ALV-UjUt_2UTMlIs56zAWnLe8YuD9Jt3_HpPyGrlEdwDgFpbRLP3yMw,not so good🤮🤮,1,0,486.0.0.66.70,2024-10-26 11:28:53,,,486.0.0.66.70,Facebook
3c5be2a2-8217-491f-8a9b-4547f3d272c2,Ashik Ahmed,https://play-lh.googleusercontent.com/a/ACg8ocIO0JoUt7WXuNOH74bGkvYJKPkWVSGpKgVZE2CGGByJB-vTFA=mo,good,5,0,486.0.0.66.70,2024-10-26 11:27:48,,,486.0.0.66.70,Facebook
3c74015c-b5eb-46cd-882e-40d4ad884bdc,Atanu Mondal,https://play-lh.googleusercontent.com/a/ACg8ocIDN1HZ5byUUm4p946DWgo7xX4xnFa9WXZBTarpPuyynM6i31w=mo,good ✨,5,0,392.2.0.33.108,2024-10-26 11:27:48,,,392.2.0.33.108,Facebook
c7aa8ae0-1818-4808-88c1-dfe3f21ad609,Sanjay Bhagat,https://play-lh.googleusercontent.com/a/ACg8ocJ6kMt33tHEedy3cSWHDInMR17AJHVp6dyUuBAeucw7WELTrg=mo,SITA Kumari,5,0,487.1.0.74.74,2024-10-26 11:27:41,,,487.1.0.74.74,Facebook
55df47ad-38f5-417e-8a6e-c172acd7f279,Md Adnan Habib Shakil,https://play-lh.googleusercontent.com/a/ACg8ocLH0FYLs879mkigj7iicqQ5msthOS4qEXI71g381viTlg8fcg=mo,Good,4,0,487.1.0.74.74,2024-10-26 11:26:30,,,487.1.0.74.74,Facebook
b38ba539-181d-466a-8c12-ab080e8adfe1,Sive Mey,https://play-lh.googleusercontent.com/a/ACg8ocIc26MXiTLtf4qYio8DiPrDEc0aKmDzvrL1-X-7-2M278VfkA=mo,Good,5,1,487.1.0.74.74,2024-10-26 11:26:11,,,487.1.0.74.74,Facebook
34601783-9493-43f2-aeb0-5edd98c1c341,MD Akash Sarder,https://play-lh.googleusercontent.com/a-/ALV-UjWf0jxUorETWHE6Ukx8j2ZR0JkEq8WtrVyj1Ycfe8ufdTirGKk,Good hope,5,0,487.1.0.74.74,2024-10-26 11:25:28,,,487.1.0.74.74,Facebook
96c31d76-76cc-4a56-b7d9-2368060b83a1,Nitiesh Yadav,https://play-lh.googleusercontent.com/a/ACg8ocKo81LQTpN_cl9UNO2aNuob2U_it9MxMj4IiufQQN1Jipx5Jw=mo,Facebook problem,3,0,,2024-10-26 11:25:27,,,,Facebook
97e2a7d1-d3a7-4b80-9ed3-a3d1f0d6dca2,Rajat Singh,https://play-lh.googleusercontent.com/a/ACg8ocKL0RbwE3O16d5a8sBmG0MY58P21Swsdayf5FQMMkdiv7vrbw=mo,Great job really you guys making good social media app TQ you so much Facebook team and users,4,0,,2024-10-26 11:25:17,,,,Facebook
8517b9fc-c8b3-41ae-92e0-29d796e58ca3,Dilip Bowade,https://play-lh.googleusercontent.com/a/ACg8ocLL14iyiTrHN-nSAoKheKyQIc-C94dTb3-dd3PaSqVk7w_chA=mo,Muskan,5,0,,2024-10-26 11:24:50,,,,Facebook
735e9514-6427-46ed-bbbb-359ffd411b71,Pedro Palominos Valdemar,https://play-lh.googleusercontent.com/a/ACg8ocIONgCjQauoyidvbtP9emmJdww4eKi2JMQMnVOICoAscRq9gg=mo,ok,5,0,487.1.0.74.74,2024-10-26 11:24:32,,,487.1.0.74.74,Facebook
4eb49d50-5f2b-43f4-81aa-8b014b035c76,Minhaj's Physics Academy,https://play-lh.googleusercontent.com/a/ACg8ocKsJq8t18rLJfEWe30kukkgV44kLs0-DocPSuc-zKk4FSLVTQ=mo,good,3,0,486.0.0.66.70,2024-10-26 11:24:29,,,486.0.0.66.70,Facebook
56e5d027-c59b-4145-b60d-be6c22373248,Eleode ben Angco,https://play-lh.googleusercontent.com/a/ACg8ocJ-fOGLKZ5QUIel2WPEFKeJf1aMlwiMKmHPY9LFr3Hyz3oPVw=mo,nice,5,0,,2024-10-26 11:24:20,,,,Facebook
fd2de892-2db4-4201-9810-77b1907c93a8,Asif Ansar,https://play-lh.googleusercontent.com/a/ACg8ocJW3D7uuI-Z-jA_5Spc7MSxvERtfV6Syw3vOJprcc7KBbfjNg=mo,asif appointment,5,0,486.0.0.66.70,2024-10-26 11:23:31,,,486.0.0.66.70,Facebook
6ac3b269-f54d-483a-ba20-be0d35efdea4,Sathavara Nikhil,https://play-lh.googleusercontent.com/a/ACg8ocJiSHiaKLKdcpZmNPjL4jieavWKba5lJCFg0X-1UZ47zOrhBQ=mo,NIVK,5,0,486.0.0.66.70,2024-10-26 11:23:30,,,486.0.0.66.70,Facebook
ef8b8ff5-13fc-4b17-9097-91531656eb91,Buravan Yvan,https://play-lh.googleusercontent.com/a/ACg8ocKmnUF1DAA1zjW3Cs6GzgGB1YmMTZV-gYW-4XkqrhDaR2IeMw=mo,Good app,5,0,487.1.0.74.74,2024-10-26 11:21:35,,,487.1.0.74.74,Facebook
5fd76adc-b296-4db5-83b6-b3e166e946e0,Ãrghä Gøswâmí,https://play-lh.googleusercontent.com/a-/ALV-UjUC3ob4Pb-ELz91p2B0Qg1VH9nHQ91ystxVjVo1SiM_ovJ6jrA5,nice,5,0,486.0.0.66.70,2024-10-26 11:20:57,,,486.0.0.66.70,Facebook
4697a803-bc4c-4e87-bb36-e1faad5e500c,Susilo Bae,https://play-lh.googleusercontent.com/a/ACg8ocJEq3k-_S8-3zfr1EZ1-L1bSE7xXHaYp12PrZRPUapEH8vM7Q=mo,Jarni m,5,0,,2024-10-26 11:20:03,,,,Facebook
